id;context_id;option_image_urls;correct_answer
1000000008;1000000003;https://static.psychology.ml/barrett-test/3d/1000000003/option-b1.jpg,https://static.psychology.ml/barrett-test/3d/1000000003/option-b2.jpg,https://static.psychology.ml/barrett-test/3d/1000000003/option-b3.jpg,https://static.psychology.ml/barrett-test/3d/1000000003/option-b4.jpg,https://static.psychology.ml/barrett-test/3d/1000000003/option-b5.jpg;1
1000000009;1000000003;https://static.psychology.ml/barrett-test/3d/1000000003/option-c1.jpg,https://static.psychology.ml/barrett-test/3d/1000000003/option-c2.jpg,https://static.psychology.ml/barrett-test/3d/1000000003/option-c3.jpg,https://static.psychology.ml/barrett-test/3d/1000000003/option-c4.jpg,https://static.psychology.ml/barrett-test/3d/1000000003/option-c5.jpg;1

1000000010;1000000004;https://static.psychology.ml/barrett-test/3d/1000000004/option-a1.jpg,https://static.psychology.ml/barrett-test/3d/1000000004/option-a2.jpg,https://static.psychology.ml/barrett-test/3d/1000000004/option-a3.jpg,https://static.psychology.ml/barrett-test/3d/1000000004/option-a4.jpg,https://static.psychology.ml/barrett-test/3d/1000000004/option-a5.jpg;2
1000000011;1000000004;https://static.psychology.ml/barrett-test/3d/1000000004/option-b1.jpg,https://static.psychology.ml/barrett-test/3d/1000000004/option-b2.jpg,https://static.psychology.ml/barrett-test/3d/1000000004/option-b3.jpg,https://static.psychology.ml/barrett-test/3d/1000000004/option-b4.jpg,https://static.psychology.ml/barrett-test/3d/1000000004/option-b5.jpg;3
1000000012;1000000004;https://static.psychology.ml/barrett-test/3d/1000000004/option-c1.jpg,https://static.psychology.ml/barrett-test/3d/1000000004/option-c2.jpg,https://static.psychology.ml/barrett-test/3d/1000000004/option-c3.jpg,https://static.psychology.ml/barrett-test/3d/1000000004/option-c4.jpg,https://static.psychology.ml/barrett-test/3d/1000000004/option-c5.jpg;2

1000000013;1000000005;https://static.psychology.ml/barrett-test/3d/1000000005/option-a1.jpg,https://static.psychology.ml/barrett-test/3d/1000000005/option-a2.jpg,https://static.psychology.ml/barrett-test/3d/1000000005/option-a3.jpg,https://static.psychology.ml/barrett-test/3d/1000000005/option-a4.jpg,https://static.psychology.ml/barrett-test/3d/1000000005/option-a5.jpg;4
1000000014;1000000005;https://static.psychology.ml/barrett-test/3d/1000000005/option-b1.jpg,https://static.psychology.ml/barrett-test/3d/1000000005/option-b2.jpg,https://static.psychology.ml/barrett-test/3d/1000000005/option-b3.jpg,https://static.psychology.ml/barrett-test/3d/1000000005/option-b4.jpg,https://static.psychology.ml/barrett-test/3d/1000000005/option-b5.jpg;2
1000000015;1000000005;https://static.psychology.ml/barrett-test/3d/1000000005/option-c1.jpg,https://static.psychology.ml/barrett-test/3d/1000000005/option-c2.jpg,https://static.psychology.ml/barrett-test/3d/1000000005/option-c3.jpg,https://static.psychology.ml/barrett-test/3d/1000000005/option-c4.jpg,https://static.psychology.ml/barrett-test/3d/1000000005/option-c5.jpg;5

1000000016;1000000006;https://static.psychology.ml/barrett-test/3d/1000000006/option-a1.jpg,https://static.psychology.ml/barrett-test/3d/1000000006/option-a2.jpg,https://static.psychology.ml/barrett-test/3d/1000000006/option-a3.jpg,https://static.psychology.ml/barrett-test/3d/1000000006/option-a4.jpg,https://static.psychology.ml/barrett-test/3d/1000000006/option-a5.jpg;1
1000000017;1000000006;https://static.psychology.ml/barrett-test/3d/1000000006/option-b1.jpg,https://static.psychology.ml/barrett-test/3d/1000000006/option-b2.jpg,https://static.psychology.ml/barrett-test/3d/1000000006/option-b3.jpg,https://static.psychology.ml/barrett-test/3d/1000000006/option-b4.jpg,https://static.psychology.ml/barrett-test/3d/1000000006/option-b5.jpg;3
1000000018;1000000006;https://static.psychology.ml/barrett-test/3d/1000000006/option-c1.jpg,https://static.psychology.ml/barrett-test/3d/1000000006/option-c2.jpg,https://static.psychology.ml/barrett-test/3d/1000000006/option-c3.jpg,https://static.psychology.ml/barrett-test/3d/1000000006/option-c4.jpg,https://static.psychology.ml/barrett-test/3d/1000000006/option-c5.jpg;2

1000000019;1000000007;https://static.psychology.ml/barrett-test/3d/1000000007/option-a1.jpg,https://static.psychology.ml/barrett-test/3d/1000000007/option-a2.jpg,https://static.psychology.ml/barrett-test/3d/1000000007/option-a3.jpg,https://static.psychology.ml/barrett-test/3d/1000000007/option-a4.jpg,https://static.psychology.ml/barrett-test/3d/1000000007/option-a5.jpg;5
1000000020;1000000007;https://static.psychology.ml/barrett-test/3d/1000000007/option-b1.jpg,https://static.psychology.ml/barrett-test/3d/1000000007/option-b2.jpg,https://static.psychology.ml/barrett-test/3d/1000000007/option-b3.jpg,https://static.psychology.ml/barrett-test/3d/1000000007/option-b4.jpg,https://static.psychology.ml/barrett-test/3d/1000000007/option-b5.jpg;5
1000000021;1000000007;https://static.psychology.ml/barrett-test/3d/1000000007/option-c1.jpg,https://static.psychology.ml/barrett-test/3d/1000000007/option-c2.jpg,https://static.psychology.ml/barrett-test/3d/1000000007/option-c3.jpg,https://static.psychology.ml/barrett-test/3d/1000000007/option-c4.jpg,https://static.psychology.ml/barrett-test/3d/1000000007/option-c5.jpg;3

1000000022;1000000008;https://static.psychology.ml/barrett-test/3d/1000000008/option-a1.jpg,https://static.psychology.ml/barrett-test/3d/1000000008/option-a2.jpg,https://static.psychology.ml/barrett-test/3d/1000000008/option-a3.jpg,https://static.psychology.ml/barrett-test/3d/1000000008/option-a4.jpg,https://static.psychology.ml/barrett-test/3d/1000000008/option-a5.jpg;2
1000000023;1000000008;https://static.psychology.ml/barrett-test/3d/1000000008/option-b1.jpg,https://static.psychology.ml/barrett-test/3d/1000000008/option-b2.jpg,https://static.psychology.ml/barrett-test/3d/1000000008/option-b3.jpg,https://static.psychology.ml/barrett-test/3d/1000000008/option-b4.jpg,https://static.psychology.ml/barrett-test/3d/1000000008/option-b5.jpg;4
1000000024;1000000008;https://static.psychology.ml/barrett-test/3d/1000000008/option-c1.jpg,https://static.psychology.ml/barrett-test/3d/1000000008/option-c2.jpg,https://static.psychology.ml/barrett-test/3d/1000000008/option-c3.jpg,https://static.psychology.ml/barrett-test/3d/1000000008/option-c4.jpg,https://static.psychology.ml/barrett-test/3d/1000000008/option-c5.jpg;4

1000000025;1000000009;https://static.psychology.ml/barrett-test/3d/1000000009/option-a1.jpg,https://static.psychology.ml/barrett-test/3d/1000000009/option-a2.jpg,https://static.psychology.ml/barrett-test/3d/1000000009/option-a3.jpg,https://static.psychology.ml/barrett-test/3d/1000000009/option-a4.jpg,https://static.psychology.ml/barrett-test/3d/1000000009/option-a5.jpg;5
1000000026;1000000009;https://static.psychology.ml/barrett-test/3d/1000000009/option-b1.jpg,https://static.psychology.ml/barrett-test/3d/1000000009/option-b2.jpg,https://static.psychology.ml/barrett-test/3d/1000000009/option-b3.jpg,https://static.psychology.ml/barrett-test/3d/1000000009/option-b4.jpg,https://static.psychology.ml/barrett-test/3d/1000000009/option-b5.jpg;4
1000000027;1000000009;https://static.psychology.ml/barrett-test/3d/1000000009/option-c1.jpg,https://static.psychology.ml/barrett-test/3d/1000000009/option-c2.jpg,https://static.psychology.ml/barrett-test/3d/1000000009/option-c3.jpg,https://static.psychology.ml/barrett-test/3d/1000000009/option-c4.jpg,https://static.psychology.ml/barrett-test/3d/1000000009/option-c5.jpg;1

1000000028;1000000010;https://static.psychology.ml/barrett-test/3d/1000000010/option-a1.jpg,https://static.psychology.ml/barrett-test/3d/1000000010/option-a2.jpg,https://static.psychology.ml/barrett-test/3d/1000000010/option-a3.jpg,https://static.psychology.ml/barrett-test/3d/1000000010/option-a4.jpg,https://static.psychology.ml/barrett-test/3d/1000000010/option-a5.jpg;3
1000000029;1000000010;https://static.psychology.ml/barrett-test/3d/1000000010/option-b1.jpg,https://static.psychology.ml/barrett-test/3d/1000000010/option-b2.jpg,https://static.psychology.ml/barrett-test/3d/1000000010/option-b3.jpg,https://static.psychology.ml/barrett-test/3d/1000000010/option-b4.jpg,https://static.psychology.ml/barrett-test/3d/1000000010/option-b5.jpg;3
1000000030;1000000010;https://static.psychology.ml/barrett-test/3d/1000000010/option-c1.jpg,https://static.psychology.ml/barrett-test/3d/1000000010/option-c2.jpg,https://static.psychology.ml/barrett-test/3d/1000000010/option-c3.jpg,https://static.psychology.ml/barrett-test/3d/1000000010/option-c4.jpg,https://static.psychology.ml/barrett-test/3d/1000000010/option-c5.jpg;5
